Time(hours),strain (ustrain),Stress ,Temperature,Humidity
3822.766692,13235.88938,6.02,18.1,46
3823.266917,13251.09397,6.02,18,46
3823.766701,13243.62565,6.02,18,46
3824.266705,13237.43809,6.02,17.9,46
3824.766917,13229.7267,6.02,17.9,46
3825.266694,13223.53837,6.02,17.8,47
3825.766695,13220.44478,6.02,17.8,48
3826.266918,13222.61818,6.02,17.8,48
3826.766694,13224.1711,6.02,17.7,48
3827.266701,13222.369,6.02,17.6,48
3827.766693,13214.37895,6.02,17.6,48
3828.266921,13216.30928,6.02,17.5,48
3828.766698,13212.4444,6.02,17.5,48
3829.266705,13208.31962,6.02,17.5,48
3829.766693,13205.99579,6.02,17.4,52
3830.266926,13207.2356,6.02,17.5,49
3830.766694,13206.45321,6.02,17.5,50
3831.266695,13204.65148,6.02,17.5,50
3831.766702,13206.97493,6.02,17.4,53
3832.266706,13206.45321,6.02,17.5,50
3832.766695,13206.2044,6.02,17.5,51
3833.266697,13209.29837,6.02,17.5,51
3833.766698,13210.32957,6.02,17.6,51
3834.266694,13212.13129,6.02,17.7,51
3834.766691,13219.86067,6.02,17.7,51
3835.266704,13220.38239,6.02,17.7,52
3835.766696,13226.049,6.02,17.8,52
3836.266691,13227.34124,6.02,17.9,52
3836.766694,13231.97627,6.02,18,52
3837.266708,13242.22086,6.02,18,53
3837.766692,13246.08536,6.02,18.1,53
3838.266706,13250.98144,6.02,18.1,53
3838.766922,13243.91005,6.02,18.2,52
3839.266692,13245.71215,6.02,18.2,52
3839.7667,13248.03522,6.02,18.3,51
3840.266708,13250.35866,6.02,18.3,51
3840.766692,13249.8488,6.02,18.3,50
3841.266694,13251.91158,6.02,18.4,50
3841.7667,13251.65091,6.02,18.4,50
3842.266692,13251.38986,6.02,18.4,50
3842.766693,13246.53244,6.02,18.3,50
3843.26693,13240.53512,6.02,18.3,50
3843.766698,13236.93129,6.02,18.3,50
3844.266695,13236.42182,6.02,18.3,50
3844.766695,13235.89971,6.02,18.3,50
3845.266711,13235.39062,6.02,18.3,50
3845.766694,13233.06679,6.02,18.3,49
3846.266705,13231.26507,6.02,18.3,49
3846.766917,13225.46258,6.02,18.3,49
3847.266698,13222.89033,6.02,18.3,49
3847.7667,13224.17072,6.02,18.3,50
3848.266707,13222.369,6.02,18.3,49
3848.766698,13224.43139,6.02,18.2,49
3849.266696,13220.30622,6.02,18.2,49
3849.766699,13217.99464,6.02,18.2,50
3850.266698,13214.64,6.02,18.1,50
3850.766696,13214.90105,6.02,18.1,50
3851.266702,13213.6088,6.02,18.1,50
3851.766694,13211.29722,6.02,18.1,50
3852.266919,13222.57187,6.02,18.2,50
3852.766697,13223.60306,6.02,18.2,50
3853.266707,13224.11292,6.02,18.1,51
3853.766701,13224.11292,6.02,18.1,51
3854.266698,13221.03043,6.02,18.2,52
3854.766689,13225.14411,6.02,18.3,52
3855.26669,13230.8222,6.02,18.3,53
3855.766694,13233.39483,6.02,18.4,53
3856.266705,13240.60211,6.02,18.5,53
3856.766914,13241.89703,6.02,18.5,54
3857.266688,13249.36498,6.02,18.6,54
3857.766695,13255.28,6.02,18.7,54
3858.266692,13263.00938,6.02,18.7,54
3858.766688,13267.13493,6.02,18.7,53
3859.266921,13271.25053,6.02,18.8,53
3859.766692,13272.53053,6.02,18.8,53
3860.266692,13275.11502,6.02,18.9,53
3860.766691,13277.16593,6.02,18.9,53
3861.26671,13279.489,6.02,18.9,53
3861.766688,13280.76976,6.02,19,53
3862.2667,13284.63426,6.02,19,53
3862.766691,13276.40268,6.02,19,54
3863.266689,13277.42278,6.02,19.1,54
3863.766697,13280.51636,6.02,19.1,54
3864.266705,13282.82833,6.02,19.1,54
3864.766689,13285.1399,6.02,19.1,55
3865.26669,13286.43215,6.02,19.1,55
3865.766695,13285.1399,6.02,19.1,54
3866.266689,13287.36191,6.02,19.1,54
3866.76669,13288.90297,6.02,19,53
3867.266702,13281.95598,6.02,19,53
3867.766689,13275.25856,6.02,18.9,53
3868.266915,13270.5933,6.02,18.8,53
3868.766691,13264.93856,6.02,18.8,53
3869.266925,13262.55541,6.02,18.7,53
3869.766692,13258.69091,6.02,18.6,53
3870.266699,13255.0756,6.02,18.6,53
3870.766691,13253.53455,6.02,18.5,53
3871.266914,13269.1977,6.02,18.4,53
3871.766697,13265.07254,6.02,18.4,53
3872.266927,13250.74411,6.02,18.3,53
3872.76669,13246.63043,6.02,18.3,53
3873.266691,13246.10871,6.02,18.2,53
3873.766693,13241.47368,6.02,18.1,53
3874.266694,13239.67158,6.02,18.1,53
3874.766916,13239.30565,6.02,18,53
3875.266704,13234.67024,6.02,17.9,53
3875.76669,13231.05493,6.02,17.9,52
3876.266916,13224.3288,6.02,17.9,52
3876.766688,13223.03617,6.02,17.8,52
3877.266711,13219.17167,6.02,17.8,52
3877.766691,13219.9422,6.02,17.7,52
3878.266698,13215.56746,6.02,17.8,51
3878.76669,13214.01493,6.02,17.9,51
3879.266697,13215.8289,6.02,18,51
3879.766696,13216.84823,6.02,18,51
3880.266704,13220.20287,6.02,18.1,51
3880.766692,13222.00498,6.02,18.2,51
3881.266692,13225.09933,6.02,18.3,50
3881.766694,13246.31005,6.02,18.4,51
3882.266697,13249.65282,6.02,18.5,51
3882.766693,13254.80957,6.02,18.6,51
3883.2667,13245.45608,6.02,18.6,51
3883.766694,13251.63254,6.02,18.7,51
3884.266693,13254.46584,6.02,18.7,51
3884.766694,13258.08115,6.02,18.8,50
3885.266707,13255.9778,6.02,18.9,50
3885.766689,13256.23847,6.02,18.9,50
3886.266704,13258.81072,6.02,19,50
3886.766693,13262.92402,6.02,19,49
3887.266688,13261.74354,6.02,19.1,49
3887.766697,13261.23445,6.02,19.1,48
3888.266705,13260.97378,6.02,19.1,48
3888.76669,13261.23445,6.02,19.1,48
3889.266692,13262.26565,6.02,19.1,48
3889.766698,13263.03617,6.02,19.1,48
3890.26669,13260.97378,6.02,19.1,47
3890.766692,13258.1401,6.02,19,46
3891.266703,13251.44191,6.02,18.9,45
3891.76669,13245.25435,6.02,18.9,46
3892.266697,13239.84842,6.02,18.9,46
3892.766917,13232.95196,6.02,18.9,46
3893.266704,13229.59732,6.02,18.9,45
3893.766691,13226.76402,6.02,18.9,45
3894.266702,13224.71311,6.02,18.9,45
3894.766694,13222.12938,6.02,18.9,43
3895.266691,13219.29569,6.02,18.9,42
3895.766698,13217.48249,6.02,18.9,41
3896.266704,13213.10813,6.02,18.9,41
3896.766691,13207.95177,6.02,18.9,40
3897.266693,13205.62833,6.02,18.9,41
3897.766693,13203.8266,6.02,18.9,41
3898.266691,13201.25359,6.02,18.9,41
3898.766693,13199.45187,6.02,18.9,40
3899.266701,13196.35789,6.02,18.9,40
3899.766697,13194.03483,6.02,18.9,41
3900.266693,13191.97206,6.02,18.9,41
3900.766916,13197.89665,6.02,18.9,41
3901.266704,13195.06297,6.02,18.9,42
3901.766694,13193.7711,6.02,18.9,42
3902.266697,13192.23005,6.02,18.9,43
3902.766691,13191.44766,6.02,19,47
3903.266698,13194.29244,6.02,19,50
3903.766696,13199.95904,6.02,19,50
3904.266705,13206.92938,6.02,19,50
3904.766692,13206.66871,6.02,19,49
3905.266695,13210.79426,6.02,19,49
3905.766696,13210.53359,6.02,19,49
3906.266694,13210.2844,6.02,19,49
3906.766689,13213.88823,6.02,19.1,50
3907.266703,13213.36651,6.02,19.1,50
3907.766915,13205.90469,6.02,19.1,50
3908.26669,13205.3956,6.02,19.1,50
3908.766692,13208.47694,6.02,19.1,50
3909.266712,13210.5401,6.02,19.2,51
3909.766695,13212.61474,6.02,19.3,52
3910.266705,13214.15541,6.02,19.3,53
3910.766697,13218.28096,6.02,19.3,53
3911.266694,13224.46928,6.02,19.3,54
3911.766701,13224.00421,6.02,19.3,55
3912.266707,13225.29684,6.02,19.3,55
3912.76669,13231.21225,6.02,19.4,56
3913.266692,13233.27502,6.02,19.4,56
3913.766699,13237.40019,6.02,19.3,57
3914.26669,13241.78679,6.02,19.3,56
3914.766692,13242.55732,6.02,19.2,56
3915.266708,13241.00402,6.02,19.1,56
3915.76669,13239.46297,6.02,19.1,56
3916.266916,13244.44249,6.02,19.1,57
3916.766693,13241.86986,6.02,19,57
3917.266704,13240.06852,6.02,19,57
3917.766917,13248.12823,6.02,18.9,57
3918.266702,13244.5244,6.02,18.8,56
3918.766915,13232.61971,6.02,18.7,55
3919.266693,13231.07866,6.02,18.7,54
3919.766699,13227.98431,6.02,18.6,53
3920.266709,13221.80823,6.02,18.5,52
3920.766917,13220.95694,6.02,18.5,52
3921.266693,13212.44593,6.02,18.4,52
3921.766916,13226.85282,6.02,18.4,52
3922.266693,13225.0511,6.02,18.4,51
3922.766699,13222.73952,6.02,18.4,51
3923.266706,13221.44766,6.02,18.4,50
3923.766693,13217.58278,6.02,18.4,50
3924.266694,13217.06105,6.02,18.4,50
3924.766691,13213.71828,6.02,18.4,50
3925.266706,13213.71828,6.02,18.4,50
3925.766918,13211.83579,6.02,18.4,49
3926.266702,13211.06488,6.02,18.5,49
3926.766693,13209.26316,6.02,18.5,48
3927.266696,13209.77263,6.02,18.6,48
3927.766697,13209.52383,6.02,18.6,48
